"state","puma22","county","stab","CountyName","PUMA22name","pop20","afact"
"State code","PUMA (2022)","County code","State abbr.","County name","PUMA22 name","Total population (2020 Census)","puma22-to-county allocation factor"
"06","00101","06001","CA","Alameda CA","Alameda County (North)--Berkeley & Albany Cities",144592,1 
"06","00111","06001","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",106433,1 
"06","00112","06001","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",106896,1 
"06","00113","06001","CA","Alameda CA","Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",125840,1 
"06","00114","06001","CA","Alameda CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",194852,1 
"06","00115","06001","CA","Alameda CA","Alameda County (Northwest)--Castro Valley & Ashland",107913,1 
"06","00116","06001","CA","Alameda CA","Alameda County (Central)--Hayward City (East)",102035,1 
"06","00117","06001","CA","Alameda CA","Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",105721,1 
"06","00118","06001","CA","Alameda CA","Alameda County (South)--Fremont (Northeast) & Union City (East) Cities",125765,1 
"06","00119","06001","CA","Alameda CA","Alameda County (Central)--Pleasanton & Dublin (West) Cities",126178,1 
"06","00120","06001","CA","Alameda CA","Alameda County (East)--Livermore & Dublin (East) Cities",118663,1 
"06","00121","06001","CA","Alameda CA","Alameda County (South)--Fremont City (Southeast)",115687,1 
"06","00122","06001","CA","Alameda CA","Alameda County (West)--Hayward City (West)",100310,1 
"06","00123","06001","CA","Alameda CA","Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale)",101468,1 
"06","00300","06003","CA","Alpine CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",1204,0.0063 
"06","00300","06005","CA","Amador CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",40474,0.2109 
"06","00300","06009","CA","Calaveras CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",45292,0.236 
"06","00300","06027","CA","Inyo CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",19016,0.0991 
"06","00300","06043","CA","Mariposa CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",17131,0.0893 
"06","00300","06051","CA","Mono CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",13195,0.0687 
"06","00300","06109","CA","Tuolumne CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",55620,0.2898 
"06","00700","06007","CA","Butte CA","Butte County--Chico City",211632,1 
"06","01100","06011","CA","Colusa CA","Colusa, Glenn, Tehama & Trinity Counties",21839,0.1646 
"06","01100","06021","CA","Glenn CA","Colusa, Glenn, Tehama & Trinity Counties",28917,0.2179 
"06","01100","06103","CA","Tehama CA","Colusa, Glenn, Tehama & Trinity Counties",65829,0.4961 
"06","01100","06105","CA","Trinity CA","Colusa, Glenn, Tehama & Trinity Counties",16112,0.1214 
"06","01301","06013","CA","Contra Costa CA","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",129420,1 
"06","01305","06013","CA","Contra Costa CA","Contra Costa County (South)--San Ramon City & Danville Town",143688,1 
"06","01308","06013","CA","Contra Costa CA","Contra Costa County (Northeast)--Antioch City",120154,1 
"06","01309","06013","CA","Contra Costa CA","Contra Costa County (East)--Brentwood & Oakley Cities",125676,1 
"06","01310","06013","CA","Contra Costa CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities P",140962,1 
"06","01311","06013","CA","Contra Costa CA","Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",122701,1 
"06","01312","06013","CA","Contra Costa CA","Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",103075,1 
"06","01313","06013","CA","Contra Costa CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",177708,1 
"06","01314","06013","CA","Contra Costa CA","Contra Costa County (North)--Pittsburg & Concord (North) Cities",102543,1 
"06","01500","06015","CA","Del Norte CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",27743,0.2085 
"06","01500","06035","CA","Lassen CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",32730,0.246 
"06","01500","06049","CA","Modoc CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",8700,0.0654 
"06","01500","06063","CA","Plumas CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",19790,0.1488 
"06","01500","06093","CA","Siskiyou CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",44076,0.3313 
"06","01700","06017","CA","El Dorado CA","El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",191185,1 
"06","01901","06019","CA","Fresno CA","Fresno County (West)--Selma, Kerman & Coalinga Cities",147233,1 
"06","01902","06019","CA","Fresno CA","Fresno County (North Central)--Fresno City (North)",190983,1 
"06","01903","06019","CA","Fresno CA","Fresno County (Central)--Fresno City (East Central)",110562,1 
"06","01904","06019","CA","Fresno CA","Fresno County (Central)--Fresno City (Southwest)",180060,1 
"06","01905","06019","CA","Fresno CA","Fresno County (Central)--Fresno City (Southeast)",116597,1 
"06","01906","06019","CA","Fresno CA","Fresno County (Central)--Clovis City",129784,1 
"06","01907","06019","CA","Fresno CA","Fresno County (East)--Sanger, Reedley & Parlier Cities",133435,1 
"06","02300","06023","CA","Humboldt CA","Humboldt County",136463,1 
"06","02500","06025","CA","Imperial CA","Imperial County--El Centro City",179702,1 
"06","02903","06029","CA","Kern CA","Kern County (Central)--Bakersfield City (Northeast)",168325,1 
"06","02904","06029","CA","Kern CA","Kern County (Central)--Bakersfield City (Southeast)",113912,1 
"06","02905","06029","CA","Kern CA","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",192671,1 
"06","02906","06029","CA","Kern CA","Kern County (West)--Delano, Wasco & Shafter Cities",157085,1 
"06","02907","06029","CA","Kern CA","Kern County (Central)--Bakersfield City (Northwest) & Rosedale",107020,1 
"06","02908","06029","CA","Kern CA","Kern County (Central)--Bakersfield City (Southwest)",170222,1 
"06","03100","06031","CA","Kings CA","Kings County--Hanford City",152486,1 
"06","03300","06033","CA","Lake CA","Lake & Mendocino Counties",68163,0.4266 
"06","03300","06045","CA","Mendocino CA","Lake & Mendocino Counties",91601,0.5734 
"06","03703","06037","CA","Los Angeles CA","Los Angeles County (North Central)--Lancaster City",180992,1 
"06","03704","06037","CA","Los Angeles CA","Los Angeles County (North Central)--Palmdale City",187217,1 
"06","03705","06037","CA","Los Angeles CA","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",179412,1 
"06","03706","06037","CA","Los Angeles CA","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",143024,1 
"06","03707","06037","CA","Los Angeles CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",149090,1 
"06","03708","06037","CA","Los Angeles CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",137084,1 
"06","03709","06037","CA","Los Angeles CA","Los Angeles County (Central)--San Gabriel Valley Region (North)",111527,1 
"06","03710","06037","CA","Los Angeles CA","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",181086,1 
"06","03711","06037","CA","Los Angeles CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",164821,1 
"06","03712","06037","CA","Los Angeles CA","Los Angeles County (East Central)--Pomona City",151939,1 
"06","03713","06037","CA","Los Angeles CA","Los Angeles County (East Central)--Covina & Walnut Cities",115271,1 
"06","03714","06037","CA","Los Angeles CA","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",107378,1 
"06","03715","06037","CA","Los Angeles CA","Los Angeles County (East Central)--West Covina City",120624,1 
