"state","puma22","place","stab","PlaceName","PUMA22name","pop20","afact"
"State code","PUMA (2022)","Place code","State abbr.","Place name","PUMA22 name","Total population (2020 Census)","puma22-to-place allocation factor"
"06","00101","00674","CA","Albany city, CA","Alameda County (North)--Berkeley & Albany Cities",20271,0.1402 
"06","00101","06000","CA","Berkeley city, CA","Alameda County (North)--Berkeley & Albany Cities",124321,0.8598 
"06","00111","53000","CA","Oakland city, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",106433,1 
"06","00112","53000","CA","Oakland city, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",106896,1 
"06","00113","53000","CA","Oakland city, CA","Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",125840,1 
"06","00114","00562","CA","Alameda city, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",78280,0.4017 
"06","00114","11964","CA","Castro Valley CDP, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",1471,0.0075 
"06","00114","22594","CA","Emeryville city, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",12905,0.0662 
"06","00114","53000","CA","Oakland city, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",9,0 
"06","00114","56938","CA","Piedmont city, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",11270,0.0578 
"06","00114","68084","CA","San Leandro city, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",90917,0.4666 
"06","00115","02980","CA","Ashland CDP, CA","Alameda County (Northwest)--Castro Valley & Ashland",23823,0.2208 
"06","00115","11964","CA","Castro Valley CDP, CA","Alameda County (Northwest)--Castro Valley & Ashland",61368,0.5687 
"06","00115","12902","CA","Cherryland CDP, CA","Alameda County (Northwest)--Castro Valley & Ashland",14445,0.1339 
"06","00115","33000","CA","Hayward city, CA","Alameda County (Northwest)--Castro Valley & Ashland",4272,0.0396 
"06","00115","68084","CA","San Leandro city, CA","Alameda County (Northwest)--Castro Valley & Ashland",91,0.0008 
"06","00115","68112","CA","San Lorenzo CDP, CA","Alameda County (Northwest)--Castro Valley & Ashland",3477,0.0322 
"06","00115","99999","CA","[not in a place]","Alameda County (Northwest)--Castro Valley & Ashland",437,0.004 
"06","00116","11964","CA","Castro Valley CDP, CA","Alameda County (Central)--Hayward City (East)",3602,0.0353 
"06","00116","12902","CA","Cherryland CDP, CA","Alameda County (Central)--Hayward City (East)",1363,0.0134 
"06","00116","23350","CA","Fairview CDP, CA","Alameda County (Central)--Hayward City (East)",11341,0.1111 
"06","00116","33000","CA","Hayward city, CA","Alameda County (Central)--Hayward City (East)",84471,0.8279 
"06","00116","77042","CA","Sunol CDP, CA","Alameda County (Central)--Hayward City (East)",12,0.0001 
"06","00116","81204","CA","Union City city, CA","Alameda County (Central)--Hayward City (East)",1056,0.0103 
"06","00116","99999","CA","[not in a place]","Alameda County (Central)--Hayward City (East)",190,0.0019 
