"state","puma22","zcta","stab","ZIPName","PUMA22name","pop20","afact"
"State code","PUMA (2022)","ZIP census tabulation area","State abbr.","ZIP Code name","PUMA22 name","Total population (2020 Census)","puma22-to-zcta allocation factor"
"06","00101","94618","CA","Oakland, CA","Alameda County (North)--Berkeley & Albany Cities",77,0.0005 
"06","00101","94702","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",17637,0.122 
"06","00101","94703","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",20805,0.1439 
"06","00101","94704","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",25137,0.1738 
"06","00101","94705","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",11376,0.0787 
"06","00101","94706","CA","Albany, CA","Alameda County (North)--Berkeley & Albany Cities",21106,0.146 
"06","00101","94707","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",9636,0.0666 
"06","00101","94708","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",9298,0.0643 
"06","00101","94709","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",12514,0.0865 
"06","00101","94710","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",9552,0.0661 
"06","00101","94720","CA","Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",7454,0.0516 
"06","00111","94607","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",31067,0.2919 
"06","00111","94608","CA","Emeryville, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",20168,0.1895 
"06","00111","94609","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",15356,0.1443 
"06","00111","94610","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",11391,0.107 
"06","00111","94611","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",4861,0.0457 
"06","00111","94612","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",19773,0.1858 
"06","00111","94618","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",3644,0.0342 
"06","00111","94705","CA","Berkeley, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",173,0.0016 
"06","00112","94602","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",19589,0.1833 
"06","00112","94605","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",10588,0.099 
"06","00112","94609","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",8222,0.0769 
"06","00112","94610","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",13345,0.1248 
"06","00112","94611","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",26883,0.2515 
"06","00112","94618","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",13069,0.1223 
"06","00112","94619","CA","Oakland, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",13012,0.1217 
"06","00112","94704","CA","Berkeley, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",122,0.0011 
