ZCTA5CE20,State code,County Code,BOSDISTRICT_2020,DistPop20,zcta22-to-bos20 allocation factor,,
ZCTA5CE20,State code,County Code,BOSDISTRICT_2020,DistPop20,zcta22-to-bos20 allocation factor,,
94720,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94704,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94618,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94705,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94611,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,0.732449037,,
94708,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94609,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94703,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94608,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94702,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94710,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,1,,
94612,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,0.911783617,,
94607,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,0.700595894,,`
94607,06,County Code,3RD SUPERVISORIAL DISTRICT,327555,0.299404106,,
94612,06,County Code,3RD SUPERVISORIAL DISTRICT,327555,0.088216383,,
94606,06,County Code,3RD SUPERVISORIAL DISTRICT,327555,1,,
94501,06,County Code,3RD SUPERVISORIAL DISTRICT,327555,1,,
94606,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,0,,
94610,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,0.866395639,,
94602,06,County Code,5TH SUPERVISORIAL DISTRICT,333129,0.524317077,,
94611,06,County Code,4TH SUPERVISORIAL DISTRICT,333123,0.267550963,,
94602,06,County Code,4TH SUPERVISORIAL DISTRICT,333123,0.178112955,,
94619,06,County Code,4TH SUPERVISORIAL DISTRICT,333123,0.784800487,,
